Variable,Mean,SD,Min,Max
Margin,1.4448400110077422,0.45680293493181945,0.21404479453818992,2.806018706791378
shareIn,0.029850746268656716,0.057070273230103843,4.089761874072257e-4,0.23387243173799305
rate_deposits,2.596927189880875,0.5140959901091141,0.561257419101735,3.6029370445988724
