Model,Divergences,LogML,LOOIC,Alpha,S0,Rho,RMSE_Share,RMSE_Margin,diff_logml,bayes_factor_vs_best,posterior_prob
MonCom,71,-1137034662966485e51,-52.96395169864914,0.2536853381275798,0.1204513601035858,0.3896117626735511,0.0013806684449474064,0.12441008804697656,0,1,1
Cournot,254,-36081571342400037e207,-34.76324189655767,0.3378132597879952,0.1429653375132288,0.11694790490539848,0.003017667441508587,0.16104864840076058,-36081571342400037e207,0,0
Bertrand,195,-24765954655004042e252,-38.457134471116525,0.268576469119145,0.10838743033163288,-0.0016444149123792738,0.001738192196283321,0.11637496833738836,-24765954655004042e252,0,0
Auction,163,-19867193124573928e275,-36.21374365727383,0.2591390627069627,0.109124918268229,-0.019777263453679784,0.002540261657948481,0.11793474253478674,-19867193124573928e275,0,0
