Model,Divergences,LogML,LOOIC,Alpha,S0,RMSE_Share,RMSE_Margin,diff_logml,bayes_factor_vs_best,posterior_prob
Auction,11,-315.9785095699633,-385.3818208619064,0.3990793891341396,0.00825437230271177,0.043232888259707156,0.6643797090374391,0,1,1
MonCom,127,-482.34566991087416,-432.2650687436765,0.40398365912036815,0.006212860796957993,0.04456950071357107,0.6683308145627782,-166.36716034091086,5.593199292291998e-73,5.593199292291998e-73
Cournot,94,-1632.847610084127,-370.49356124506056,0.47842691381074764,0.00406483286326976,0.05919384455339679,0.6345739853167519,-1316.8691005141636,0,0
Bertrand,37,NA,-408.72076712494015,0.3954495296242737,0.006220391077489334,0.05000556606498258,0.6615487562161358,NA,NA,0
