Parameter,Prior,Bertrand,Auction,Cournot,MonCom
Alpha,1.13 (0.60),0.395 (0.041),0.399 (0.046),0.478 (0.051),0.404 (0.038)
S0,0.33 (0.20),0.006 (0.008),0.008 (0.010),0.004 (0.004),0.006 (0.005)
Sigma_Share_Abs,0.00 (0.005),0.000 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000)
Sigma_Margin,0.00 (0.68),0.703 (0.090),0.677 (0.078),0.662 (0.076),0.689 (0.078)
Cutoff,0.03 (0.02),0.028 (0.016),0.029 (0.015),0.028 (0.015),0.031 (0.015)
