Model,LOOIC,diff_loo,probability
Auction,-385.3818208619064,46.8832478817701,6.598249361049816e-11
MonCom,-432.2650687436765,0,0.9999922835023567
Cournot,-370.49356124506056,61.77150749861596,3.859083947768992e-14
Bertrand,-408.72076712494015,23.54430161873637,7.716431622158091e-6
