Parameter,Prior,Bertrand,Auction,Cournot,MonCom
Alpha,1.00 (0.27),0.433 (0.047),0.435 (0.046),0.516 (0.069),0.438 (0.045)
S0,0.05 (1.20),0.011 (0.001),0.011 (0.001),0.011 (0.001),0.011 (0.001)
Sigma_Share_Abs,0.000 (0.010),0.002 (0.001),0.002 (0.001),0.002 (0.001),0.002 (0.001)
Sigma_Margin,0.000 (1.00),0.687 (0.082),0.695 (0.083),0.671 (0.082),0.702 (0.086)
Rho,0.000 (0.50),0.000 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000)
Cutoff_Share,0.03 (0.02),NA (NA),NA (NA),NA (NA),NA (NA)
Sigma_B_Strat,0.0 (5.0),1.929 (0.232),1.927 (0.236),1.942 (0.229),1.926 (0.233)
Sigma_B_Fringe,0.0 (0.2),0.000 (0.000),0.000 (0.000),0.000 (0.000),0.000 (0.000)
